task_id,selector,policy,depth,delegation,root_model,sub_model,correct,latency_s,root_steps,subcalls,repl_blocks,retrieval_calls,surfaced_chars,repl_output_chars,subcall_input_chars,subcall_output_chars,model_input_chars,rlm_queries,rlm_cache_hits,rlm_cache_misses,retrieval_cache_hits,retrieval_cache_misses
t2,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,4.67,1,1,1,0,192,112,535,112,3266,0,0,0,0,0
t3,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,5.43,1,1,1,0,140,60,515,60,3255,0,0,0,0,0
t4,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,4.61,1,1,1,0,119,39,505,39,3275,0,0,0,0,0
t5,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,7.10,1,1,1,0,226,146,527,146,3258,0,0,0,0,0
t6,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,6.31,1,1,1,0,177,97,518,97,3270,0,0,0,0,0
t7,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,6.77,1,1,1,0,172,82,523,82,3261,0,0,0,0,0
t8,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,5.05,1,1,1,0,226,146,532,146,3263,0,0,0,0,0
t1,grep,single,1,none,gpt-5.2,gpt-5.2,1,2.64,1,0,1,2,282,200,0,0,2531,0,0,0,0,2
t2,grep,single,1,none,gpt-5.2,gpt-5.2,1,3.17,1,0,1,2,283,200,0,0,2505,0,0,0,0,2
t3,grep,single,1,none,gpt-5.2,gpt-5.2,1,2.60,1,0,1,2,102,22,0,0,2488,0,0,0,0,2
t4,grep,single,1,none,gpt-5.2,gpt-5.2,1,10.47,2,0,2,3,1351,836,0,0,6532,0,0,0,0,3
t5,grep,single,1,none,gpt-5.2,gpt-5.2,0,2.93,1,0,1,2,284,200,0,0,2504,0,0,0,0,2
t6,grep,single,1,none,gpt-5.2,gpt-5.2,0,2.56,1,0,1,2,292,200,0,0,2490,0,0,0,0,2
t7,grep,single,1,none,gpt-5.2,gpt-5.2,0,2.56,1,0,1,2,291,200,0,0,2494,0,0,0,0,2
t8,grep,single,1,none,gpt-5.2,gpt-5.2,0,2.32,1,0,1,2,290,200,0,0,2500,0,0,0,0,2
t1,grep,single,1,llm,gpt-5.2,gpt-5.2,1,5.32,1,1,1,2,164,84,376,84,2945,0,0,0,0,2
t2,grep,single,1,llm,gpt-5.2,gpt-5.2,1,4.82,1,1,1,2,226,146,387,146,2919,0,0,0,0,2
t3,grep,single,1,llm,gpt-5.2,gpt-5.2,1,4.53,1,1,1,2,124,44,367,44,2902,0,0,0,0,2
t4,grep,single,1,llm,gpt-5.2,gpt-5.2,1,5.68,1,1,1,2,119,39,359,39,2903,0,0,0,0,2
t5,grep,single,1,llm,gpt-5.2,gpt-5.2,1,4.60,1,1,1,2,226,146,386,146,2918,0,0,0,0,2
t6,grep,single,1,llm,gpt-5.2,gpt-5.2,0,4.57,1,1,1,2,120,40,364,40,2904,0,0,0,0,2
t7,grep,single,1,llm,gpt-5.2,gpt-5.2,0,7.06,1,1,1,2,158,68,374,68,2908,0,0,0,0,2
t8,grep,single,1,llm,gpt-5.2,gpt-5.2,0,4.93,1,1,1,2,148,68,382,68,2914,0,0,0,0,2
t1,grep,single,2,rlm,gpt-5.2,gpt-5.2,1,8.02,3,0,3,2,2202,951,0,0,9609,1,0,1,0,2
t2,grep,single,2,rlm,gpt-5.2,gpt-5.2,1,11.44,4,0,3,2,2126,893,0,0,12375,1,0,1,0,2
t3,grep,single,2,rlm,gpt-5.2,gpt-5.2,1,9.41,3,0,3,2,2150,924,0,0,9199,1,0,1,0,2
t4,grep,single,2,rlm,gpt-5.2,gpt-5.2,1,6.51,3,0,3,2,2076,870,0,0,8917,1,0,1,0,2
t5,grep,single,2,rlm,gpt-5.2,gpt-5.2,1,7.56,3,0,3,2,2162,911,0,0,8966,1,0,1,0,2
t6,grep,single,2,rlm,gpt-5.2,gpt-5.2,0,7.68,3,0,3,2,1785,732,0,0,9015,1,0,1,0,2
t7,grep,single,2,rlm,gpt-5.2,gpt-5.2,0,8.23,3,0,3,2,2130,901,0,0,9188,1,0,1,0,2
t8,grep,single,2,rlm,gpt-5.2,gpt-5.2,0,12.66,3,0,3,2,1782,729,0,0,8972,1,0,1,0,2
t1,grep,single,2,llm,gpt-5.2,gpt-5.2,1,5.71,1,1,1,2,132,52,416,52,3369,0,0,0,0,2
t2,grep,single,2,llm,gpt-5.2,gpt-5.2,1,5.18,1,1,1,2,164,84,427,84,3327,0,0,0,0,2
t3,grep,single,2,llm,gpt-5.2,gpt-5.2,1,4.61,1,1,1,2,124,44,407,44,3316,0,0,0,0,2
t4,grep,single,2,llm,gpt-5.2,gpt-5.2,1,4.64,1,1,1,2,119,39,399,39,3338,0,0,0,0,2
t5,grep,single,2,llm,gpt-5.2,gpt-5.2,1,4.95,1,1,1,2,226,146,425,146,3326,0,0,0,0,2
t6,grep,single,2,llm,gpt-5.2,gpt-5.2,0,8.69,1,1,1,2,123,43,404,43,3325,0,0,0,0,2
t7,grep,single,2,llm,gpt-5.2,gpt-5.2,0,4.74,1,1,1,2,150,68,414,68,3321,0,0,0,0,2
t8,grep,single,2,llm,gpt-5.2,gpt-5.2,0,4.83,1,1,1,2,131,51,422,51,3322,0,0,0,0,2
t1,grep,expand,1,none,gpt-5.2,gpt-5.2,0,2.77,1,0,1,2,284,200,0,0,2521,0,0,0,0,2
t2,grep,expand,1,none,gpt-5.2,gpt-5.2,0,2.92,1,0,1,2,284,200,0,0,2495,0,0,0,0,2
t3,grep,expand,1,none,gpt-5.2,gpt-5.2,1,2.19,1,0,1,2,102,22,0,0,2478,0,0,0,0,2
t4,grep,expand,1,none,gpt-5.2,gpt-5.2,0,5.98,2,0,2,4,819,317,0,0,6502,0,0,0,2,2
t5,grep,expand,1,none,gpt-5.2,gpt-5.2,0,2.36,1,0,1,2,287,200,0,0,2494,0,0,0,0,2
t6,grep,expand,1,none,gpt-5.2,gpt-5.2,0,2.73,1,0,1,2,290,200,0,0,2480,0,0,0,0,2
t7,grep,expand,1,none,gpt-5.2,gpt-5.2,0,2.34,1,0,1,2,289,199,0,0,2484,0,0,0,0,2
t8,grep,expand,1,none,gpt-5.2,gpt-5.2,0,2.22,1,0,1,2,288,200,0,0,2490,0,0,0,0,2
t1,grep,expand,1,llm,gpt-5.2,gpt-5.2,1,9.40,1,1,1,2,164,84,517,84,2935,0,0,0,0,2
t2,grep,expand,1,llm,gpt-5.2,gpt-5.2,1,7.14,1,1,1,2,226,146,535,146,2909,0,0,0,0,2
t3,grep,expand,1,llm,gpt-5.2,gpt-5.2,1,4.04,1,1,1,2,140,60,515,60,2892,0,0,0,0,2
t4,grep,expand,1,llm,gpt-5.2,gpt-5.2,1,6.35,1,1,1,2,119,39,505,39,2893,0,0,0,0,2
t5,grep,expand,1,llm,gpt-5.2,gpt-5.2,1,10.03,1,1,1,2,226,146,527,146,2908,0,0,0,0,2
